名字,任职时间
查谦
朱九思
吴再德,1984年11月起至1992年08月
薛德麟,1992年08月起至1997年06月
黄树槐,1984年12月起至1993年01月
杨叔子,1993年01月起至1997年06月
周 济,997年06月起至2001年11月
樊明武,2001年12月起至2005年04月
李培根,2005年04月起至2014年03月
丁烈云,2014年4月至今
